"subj","trial","fixX"
"9","Unmodified left 123",690
"1","Unmodified left 124",621
"12","Unmodified left 124",651
"16","Unmodified left 124",634
"9","Unmodified left 124",692
"6","Unmodified left 125",632
"8","Unmodified left 125",226
"1","Unmodified left 126",616
"12","Unmodified left 126",648
"7","Unmodified left 126",639
"11","Unmodified left 127",655
"15","Unmodified left 127",602
"16","Unmodified left 127",636
"4","Unmodified left 127",635
"8","Unmodified left 127",983
"12","Unmodified left 128",646
"13","Unmodified left 128",634
"15","Unmodified left 128",599
"7","Unmodified left 128",664
"16","Unmodified left 129",639
"8","Unmodified left 129",540
"9","Unmodified left 129",693
"1","Unmodified left 13",654
"11","Unmodified left 13",638
"6","Unmodified left 13",630
"11","Unmodified left 130",651
"15","Unmodified left 130",606
"16","Unmodified left 130",631
"4","Unmodified left 130",650
"9","Unmodified left 130",689
"12","Unmodified left 131",639
"13","Unmodified left 132",639
"16","Unmodified left 132",632
"6","Unmodified left 132",641
"11","Unmodified left 133",656
"15","Unmodified left 133",617
"4","Unmodified left 133",640
"11","Unmodified left 134",652
"7","Unmodified left 134",635
"11","Unmodified left 135",658
"6","Unmodified left 135",627
"8","Unmodified left 135",645
"1","Unmodified left 136",617
"15","Unmodified left 136",608
"16","Unmodified left 136",631
"7","Unmodified left 136",639
"9","Unmodified left 136",686
"12","Unmodified left 137",632
"16","Unmodified left 137",630
"1","Unmodified left 138",713
"12","Unmodified left 138",625
"15","Unmodified left 138",596
"4","Unmodified left 138",642
"6","Unmodified left 138",632
"1","Unmodified left 139",672
"4","Unmodified left 139",599
"7","Unmodified left 139",657
"1","Unmodified left 14",788
"11","Unmodified left 14",651
"15","Unmodified left 14",631
"16","Unmodified left 14",637
"6","Unmodified left 14",630
"8","Unmodified left 14",432
"9","Unmodified left 14",661
"10","Unmodified left 140",646
"13","Unmodified left 140",636
"9","Unmodified left 140",687
"10","Unmodified left 141",646
"12","Unmodified left 141",642
"15","Unmodified left 141",624
"10","Unmodified left 142",648
"6","Unmodified left 142",626
"7","Unmodified left 142",633
"10","Unmodified left 143",647
"7","Unmodified left 143",640
"13","Unmodified left 145",645
"15","Unmodified left 145",615
"4","Unmodified left 145",652
"7","Unmodified left 145",617
"8","Unmodified left 146",577
"9","Unmodified left 147",699
"10","Unmodified left 149",644
"7","Unmodified left 149",633
"11","Unmodified left 15",643
"7","Unmodified left 15",660
"6","Unmodified left 150",620
"1","Unmodified left 151",661
"10","Unmodified left 151",647
"13","Unmodified left 151",649
"4","Unmodified left 151",644
"7","Unmodified left 151",624
"13","Unmodified left 152",631
"15","Unmodified left 152",575
"16","Unmodified left 152",629
"4","Unmodified left 152",641
"6","Unmodified left 152",629
"8","Unmodified left 152",642
"10","Unmodified left 153",635
"11","Unmodified left 153",653
"13","Unmodified left 153",632
"6","Unmodified left 153",631
"7","Unmodified left 153",631
"1","Unmodified left 154",775
"16","Unmodified left 154",628
"4","Unmodified left 154",641
"1","Unmodified left 155",663
"13","Unmodified left 155",644
"7","Unmodified left 155",633
"9","Unmodified left 155",693
"1","Unmodified left 156",709
"10","Unmodified left 156",652
"13","Unmodified left 156",645
"7","Unmodified left 156",624
"8","Unmodified left 156",614
"10","Unmodified left 157",646
"11","Unmodified left 157",646
"6","Unmodified left 157",626
"7","Unmodified left 157",617
"9","Unmodified left 157",690
"1","Unmodified left 158",640
"10","Unmodified left 158",646
"12","Unmodified left 158",646
"15","Unmodified left 158",611
"16","Unmodified left 158",629
"4","Unmodified left 158",644
"8","Unmodified left 158",853
"13","Unmodified left 159",655
"16","Unmodified left 159",636
"7","Unmodified left 159",621
"10","Unmodified left 16",621
"11","Unmodified left 16",639
"12","Unmodified left 16",643
"13","Unmodified left 16",637
"4","Unmodified left 16",632
"7","Unmodified left 16",668
"15","Unmodified left 160",606
"6","Unmodified left 160",624
"10","Unmodified left 17",642
"13","Unmodified left 17",646
"15","Unmodified left 17",632
"4","Unmodified left 17",633
"8","Unmodified left 17",639
"10","Unmodified left 18",644
"16","Unmodified left 18",591
"1","Unmodified left 19",628
"10","Unmodified left 19",640
"6","Unmodified left 19",650
"8","Unmodified left 19",626
"12","Unmodified left 2",641
"13","Unmodified left 2",638
"15","Unmodified left 20",655
"8","Unmodified left 20",631
"10","Unmodified left 21",633
"13","Unmodified left 21",641
"11","Unmodified left 22",638
"13","Unmodified left 22",628
"6","Unmodified left 22",641
"11","Unmodified left 23",641
"15","Unmodified left 23",634
"6","Unmodified left 23",636
"7","Unmodified left 23",658
"8","Unmodified left 23",644
"11","Unmodified left 24",643
"12","Unmodified left 24",647
"9","Unmodified left 24",653
"1","Unmodified left 25",1023
"13","Unmodified left 25",639
"16","Unmodified left 25",638
"8","Unmodified left 25",615
"6","Unmodified left 26",649
"11","Unmodified left 27",632
"12","Unmodified left 27",636
"13","Unmodified left 27",632
"16","Unmodified left 27",623
"10","Unmodified left 28",643
"11","Unmodified left 28",640
"12","Unmodified left 28",643
"6","Unmodified left 28",648
"1","Unmodified left 29",637
"13","Unmodified left 29",628
"4","Unmodified left 29",635
"9","Unmodified left 29",643
"10","Unmodified left 3",636
"11","Unmodified left 3",650
"12","Unmodified left 3",632
"15","Unmodified left 3",624
"16","Unmodified left 3",642
"6","Unmodified left 3",637
"9","Unmodified left 3",673
"1","Unmodified left 30",611
"15","Unmodified left 30",630
"6","Unmodified left 30",642
"7","Unmodified left 30",651
"8","Unmodified left 30",626
"9","Unmodified left 30",652
"1","Unmodified left 31",630
"16","Unmodified left 31",636
"8","Unmodified left 31",738
"15","Unmodified left 32",635
"4","Unmodified left 32",643
"8","Unmodified left 32",634
"11","Unmodified left 33",644
"16","Unmodified left 33",635
"4","Unmodified left 33",641
"16","Unmodified left 34",629
"4","Unmodified left 34",637
"8","Unmodified left 34",624
"11","Unmodified left 35",627
"15","Unmodified left 35",650
"7","Unmodified left 35",647
"9","Unmodified left 36",667
"1","Unmodified left 37",624
"12","Unmodified left 37",636
"16","Unmodified left 37",638
"4","Unmodified left 37",634
"1","Unmodified left 38",636
"13","Unmodified left 38",641
"15","Unmodified left 38",630
"7","Unmodified left 38",649
"10","Unmodified left 39",650
"7","Unmodified left 39",635
"10","Unmodified left 4",640
"16","Unmodified left 4",631
"15","Unmodified left 40",679
"6","Unmodified left 40",640
"11","Unmodified left 41",633
"16","Unmodified left 41",634
"6","Unmodified left 41",644
"8","Unmodified left 41",625
"1","Unmodified left 42",667
"10","Unmodified left 42",641
"4","Unmodified left 42",643
"7","Unmodified left 42",668
"1","Unmodified left 43",910
"12","Unmodified left 43",645
"16","Unmodified left 43",623
"6","Unmodified left 43",639
"7","Unmodified left 43",660
"9","Unmodified left 43",680
"1","Unmodified left 44",643
"10","Unmodified left 44",644
"12","Unmodified left 44",651
"13","Unmodified left 44",647
"16","Unmodified left 44",640
"8","Unmodified left 44",630
"9","Unmodified left 44",681
"10","Unmodified left 45",653
"15","Unmodified left 45",632
"16","Unmodified left 45",648
"6","Unmodified left 46",652
"9","Unmodified left 46",680
"10","Unmodified left 47",651
"11","Unmodified left 47",636
"12","Unmodified left 47",652
"8","Unmodified left 47",807
"12","Unmodified left 48",641
"15","Unmodified left 48",623
"9","Unmodified left 48",685
"13","Unmodified left 5",636
"15","Unmodified left 5",635
"16","Unmodified left 50",641
"7","Unmodified left 50",650
"8","Unmodified left 50",621
"1","Unmodified left 51",625
"10","Unmodified left 51",650
"12","Unmodified left 51",651
"16","Unmodified left 51",626
"1","Unmodified left 52",637
"10","Unmodified left 52",649
"12","Unmodified left 52",641
"13","Unmodified left 52",640
"4","Unmodified left 52",651
"7","Unmodified left 52",647
"11","Unmodified left 53",640
"15","Unmodified left 53",629
"4","Unmodified left 53",644
"6","Unmodified left 53",633
"7","Unmodified left 53",652
"15","Unmodified left 54",626
"13","Unmodified left 55",642
"4","Unmodified left 55",651
"6","Unmodified left 55",641
"1","Unmodified left 56",631
"15","Unmodified left 56",616
"9","Unmodified left 56",686
"11","Unmodified left 57",653
"13","Unmodified left 57",635
"16","Unmodified left 57",639
"7","Unmodified left 57",660
"8","Unmodified left 57",622
"6","Unmodified left 58",645
"13","Unmodified left 59",646
"4","Unmodified left 59",640
"1","Unmodified left 6",626
"11","Unmodified left 6",645
"7","Unmodified left 6",671
"8","Unmodified left 6",643
"10","Unmodified left 60",643
"4","Unmodified left 60",642
"8","Unmodified left 60",633
"4","Unmodified left 61",646
"9","Unmodified left 61",670
"10","Unmodified left 62",646
"11","Unmodified left 62",640
"12","Unmodified left 62",637
"15","Unmodified left 62",637
"16","Unmodified left 62",648
"6","Unmodified left 62",647
"7","Unmodified left 62",648
"10","Unmodified left 63",651
"13","Unmodified left 63",634
"8","Unmodified left 63",639
"1","Unmodified left 64",643
"12","Unmodified left 64",639
"15","Unmodified left 64",739
"6","Unmodified left 64",649
"8","Unmodified left 64",434
"9","Unmodified left 64",685
"11","Unmodified left 65",652
"4","Unmodified left 65",638
"8","Unmodified left 65",653
"9","Unmodified left 65",677
"12","Unmodified left 66",634
"13","Unmodified left 66",645
"16","Unmodified left 66",663
"9","Unmodified left 66",670
"12","Unmodified left 68",648
"15","Unmodified left 68",625
"16","Unmodified left 68",657
"8","Unmodified left 68",622
"10","Unmodified left 69",645
"16","Unmodified left 69",644
"7","Unmodified left 69",658
"9","Unmodified left 69",667
"4","Unmodified left 7",637
"1","Unmodified left 71",622
"15","Unmodified left 71",654
"15","Unmodified left 72",564
"6","Unmodified left 72",644
"8","Unmodified left 72",624
"10","Unmodified left 73",641
"11","Unmodified left 73",656
"8","Unmodified left 73",629
"11","Unmodified left 74",654
"13","Unmodified left 74",639
"16","Unmodified left 74",648
"8","Unmodified left 74",613
"11","Unmodified left 75",647
"13","Unmodified left 75",629
"1","Unmodified left 76",658
"10","Unmodified left 76",643
"16","Unmodified left 76",654
"7","Unmodified left 76",644
"9","Unmodified left 76",677
"12","Unmodified left 77",648
"13","Unmodified left 77",633
"6","Unmodified left 77",662
"8","Unmodified left 77",607
"9","Unmodified left 77",678
"1","Unmodified left 78",774
"13","Unmodified left 78",625
"4","Unmodified left 78",641
"8","Unmodified left 78",622
"9","Unmodified left 78",686
"16","Unmodified left 79",637
"4","Unmodified left 79",646
"11","Unmodified left 8",646
"12","Unmodified left 80",641
"13","Unmodified left 80",627
"15","Unmodified left 80",631
"6","Unmodified left 80",645
"8","Unmodified left 80",629
"9","Unmodified left 80",670
"12","Unmodified left 81",633
"6","Unmodified left 81",639
"7","Unmodified left 81",643
"9","Unmodified left 81",681
"12","Unmodified left 82",637
"12","Unmodified left 83",647
"15","Unmodified left 83",634
"4","Unmodified left 83",643
"7","Unmodified left 83",651
"9","Unmodified left 83",683
"1","Unmodified left 84",704
"11","Unmodified left 84",653
"4","Unmodified left 84",645
"1","Unmodified left 85",655
"13","Unmodified left 85",631
"4","Unmodified left 86",646
"6","Unmodified left 86",636
"9","Unmodified left 86",683
"12","Unmodified left 87",644
"15","Unmodified left 87",614
"10","Unmodified left 88",645
"4","Unmodified left 88",641
"1","Unmodified left 89",637
"10","Unmodified left 89",646
"4","Unmodified left 89",637
"7","Unmodified left 89",644
"15","Unmodified left 9",632
"16","Unmodified left 9",634
"4","Unmodified left 9",645
"8","Unmodified left 9",641
"11","Unmodified left 90",656
"12","Unmodified left 90",628
"4","Unmodified left 90",638
"6","Unmodified left 90",632
"8","Unmodified left 90",627
"11","Unmodified left 91",660
"12","Unmodified left 91",645
"13","Unmodified left 91",648
"1","Unmodified left 92",639
"10","Unmodified left 92",644
"16","Unmodified left 92",648
"7","Unmodified left 92",659
"9","Unmodified left 92",680
"1","Unmodified left 93",647
"15","Unmodified left 93",621
"8","Unmodified left 93",629
"9","Unmodified left 93",663
"11","Unmodified left 94",653
"6","Unmodified left 94",638
"7","Unmodified left 94",657
"1","Unmodified left 95",730
"11","Unmodified left 95",652
"4","Unmodified left 95",639
"8","Unmodified left 95",650
"1","Unmodified left 97",634
"6","Unmodified left 97",629
"10","Unmodified left 98",630
"9","Unmodified left 98",669
"1","Unmodified left 99",623
"10","Unmodified left 99",641
"13","Unmodified left 99",632
"4","Unmodified left 99",633
"7","Unmodified left 99",655
"10","Unmodified right 1",385
"15","Unmodified right 1",388
"16","Unmodified right 1",380
"6","Unmodified right 1",387
"9","Unmodified right 1",361
"12","Unmodified right 10",367
"15","Unmodified right 10",389
"16","Unmodified right 10",393
"11","Unmodified right 100",371
"10","Unmodified right 102",376
"11","Unmodified right 102",356
"13","Unmodified right 102",377
"1","Unmodified right 103",351
"13","Unmodified right 103",384
"4","Unmodified right 103",385
"1","Unmodified right 104",386
"1","Unmodified right 105",403
"6","Unmodified right 105",382
"7","Unmodified right 105",375
"1","Unmodified right 106",330
"11","Unmodified right 106",377
"4","Unmodified right 106",674
"11","Unmodified right 107",371
"4","Unmodified right 107",388
"8","Unmodified right 107",675
"9","Unmodified right 107",354
"10","Unmodified right 108",385
"16","Unmodified right 108",375
"8","Unmodified right 108",779
"12","Unmodified right 109",375
"7","Unmodified right 109",368
"9","Unmodified right 109",352
"10","Unmodified right 11",386
"15","Unmodified right 11",387
"9","Unmodified right 11",370
"15","Unmodified right 110",411
"6","Unmodified right 110",383
"8","Unmodified right 110",388
"11","Unmodified right 111",370
"6","Unmodified right 111",393
"7","Unmodified right 111",347
"15","Unmodified right 112",444
"6","Unmodified right 112",398
"7","Unmodified right 112",350
"12","Unmodified right 113",386
"13","Unmodified right 113",386
"8","Unmodified right 113",695
"1","Unmodified right 114",378
"10","Unmodified right 114",377
"11","Unmodified right 114",370
"15","Unmodified right 114",406
"1","Unmodified right 115",382
"1","Unmodified right 116",399
"15","Unmodified right 116",866
"16","Unmodified right 116",387
"10","Unmodified right 117",371
"15","Unmodified right 117",398
"4","Unmodified right 117",382
"4","Unmodified right 118",422
"8","Unmodified right 118",401
"15","Unmodified right 119",406
"7","Unmodified right 119",394
"16","Unmodified right 12",388
"11","Unmodified right 120",367
"15","Unmodified right 120",363
"4","Unmodified right 120",423
"6","Unmodified right 120",406
"9","Unmodified right 120",339
"10","Unmodified right 121",377
"12","Unmodified right 121",395
"15","Unmodified right 121",400
"1","Unmodified right 122",399
"11","Unmodified right 122",368
"16","Unmodified right 122",387
"8","Unmodified right 123",399
"13","Unmodified right 124",383
"8","Unmodified right 124",390
"12","Unmodified right 125",386
"13","Unmodified right 125",374
"16","Unmodified right 125",381
"4","Unmodified right 125",388
"10","Unmodified right 126",370
"4","Unmodified right 126",388
"6","Unmodified right 126",394
"8","Unmodified right 126",697
"1","Unmodified right 127",393
"10","Unmodified right 128",372
"11","Unmodified right 128",357
"1","Unmodified right 129",374
"10","Unmodified right 129",375
"13","Unmodified right 129",379
"15","Unmodified right 129",418
"4","Unmodified right 129",388
"6","Unmodified right 129",376
"7","Unmodified right 129",370
"16","Unmodified right 13",384
"12","Unmodified right 130",383
"13","Unmodified right 130",398
"8","Unmodified right 130",397
"11","Unmodified right 131",375
"15","Unmodified right 131",414
"16","Unmodified right 131",391
"7","Unmodified right 131",405
"10","Unmodified right 132",383
"4","Unmodified right 132",380
"1","Unmodified right 133",369
"12","Unmodified right 133",373
"9","Unmodified right 134",347
"12","Unmodified right 135",386
"15","Unmodified right 135",409
"6","Unmodified right 136",392
"8","Unmodified right 136",389
"10","Unmodified right 137",378
"13","Unmodified right 137",392
"15","Unmodified right 137",418
"7","Unmodified right 137",392
"8","Unmodified right 137",397
"10","Unmodified right 138",378
"11","Unmodified right 138",361
"15","Unmodified right 139",417
"8","Unmodified right 139",704
"13","Unmodified right 14",387
"4","Unmodified right 14",377
"7","Unmodified right 14",365
"11","Unmodified right 140",380
"16","Unmodified right 140",389
"7","Unmodified right 140",364
"1","Unmodified right 141",396
"13","Unmodified right 141",373
"4","Unmodified right 141",379
"6","Unmodified right 141",392
"8","Unmodified right 141",384
"9","Unmodified right 141",339
"16","Unmodified right 142",392
"9","Unmodified right 142",328
"1","Unmodified right 143",310
"15","Unmodified right 143",424
"8","Unmodified right 143",412
"9","Unmodified right 143",336
"10","Unmodified right 144",387
"16","Unmodified right 144",384
"6","Unmodified right 144",386
"7","Unmodified right 144",400
"1","Unmodified right 145",366
"10","Unmodified right 145",381
"11","Unmodified right 145",369
"12","Unmodified right 145",387
"16","Unmodified right 145",385
"6","Unmodified right 145",392
"10","Unmodified right 146",381
"11","Unmodified right 146",367
"4","Unmodified right 146",380
"9","Unmodified right 146",330
"1","Unmodified right 147",370
"8","Unmodified right 147",443
"11","Unmodified right 148",374
"13","Unmodified right 148",371
"15","Unmodified right 148",447
"16","Unmodified right 148",385
"4","Unmodified right 148",393
"6","Unmodified right 148",390
"8","Unmodified right 148",382
"9","Unmodified right 148",338
"15","Unmodified right 149",374
"16","Unmodified right 149",385
"4","Unmodified right 149",372
"6","Unmodified right 149",388
"12","Unmodified right 15",378
"4","Unmodified right 15",376
"1","Unmodified right 150",292
"11","Unmodified right 150",373
"15","Unmodified right 150",412
"12","Unmodified right 151",389
"15","Unmodified right 151",397
"16","Unmodified right 151",386
"6","Unmodified right 151",395
"11","Unmodified right 152",363
"9","Unmodified right 152",329
"12","Unmodified right 153",398
"15","Unmodified right 153",422
"16","Unmodified right 153",386
"8","Unmodified right 153",386
"10","Unmodified right 154",380
"13","Unmodified right 154",368
"9","Unmodified right 154",334
"12","Unmodified right 155",385
"16","Unmodified right 155",390
"11","Unmodified right 156",366
"15","Unmodified right 156",420
"4","Unmodified right 156",372
"6","Unmodified right 156",393
"9","Unmodified right 156",328
"1","Unmodified right 157",394
"12","Unmodified right 157",390
"13","Unmodified right 157",376
"8","Unmodified right 157",153
"13","Unmodified right 158",377
"6","Unmodified right 158",396
"1","Unmodified right 159",373
"10","Unmodified right 159",367
"6","Unmodified right 159",394
"9","Unmodified right 16",347
"12","Unmodified right 160",392
"12","Unmodified right 17",373
"1","Unmodified right 18",363
"11","Unmodified right 19",380
"12","Unmodified right 19",378
"13","Unmodified right 19",391
"15","Unmodified right 19",391
"16","Unmodified right 19",381
"9","Unmodified right 19",341
"1","Unmodified right 2",365
"11","Unmodified right 2",373
"6","Unmodified right 2",379
"9","Unmodified right 2",342
"12","Unmodified right 20",381
"7","Unmodified right 21",382
"8","Unmodified right 21",390
"10","Unmodified right 22",384
"10","Unmodified right 23",388
"4","Unmodified right 23",395
"9","Unmodified right 23",357
"6","Unmodified right 24",389
"4","Unmodified right 25",380
"6","Unmodified right 25",381
"9","Unmodified right 25",367
"15","Unmodified right 26",385
"7","Unmodified right 26",376
"9","Unmodified right 26",363
"7","Unmodified right 27",379
"1","Unmodified right 28",384
"7","Unmodified right 28",376
"9","Unmodified right 28",380
"15","Unmodified right 29",400
"4","Unmodified right 3",366
"10","Unmodified right 30",376
"11","Unmodified right 30",385
"13","Unmodified right 30",386
"6","Unmodified right 31",381
"1","Unmodified right 32",417
"12","Unmodified right 32",387
"16","Unmodified right 32",390
"9","Unmodified right 32",367
"1","Unmodified right 33",406
"7","Unmodified right 33",371
"8","Unmodified right 33",381
"1","Unmodified right 34",395
"10","Unmodified right 35",377
"6","Unmodified right 35",387
"9","Unmodified right 35",352
"12","Unmodified right 36",379
"13","Unmodified right 36",397
"16","Unmodified right 36",388
"11","Unmodified right 37",392
"15","Unmodified right 37",389
"6","Unmodified right 37",386
"10","Unmodified right 38",371
"12","Unmodified right 38",374
"8","Unmodified right 38",540
"9","Unmodified right 39",345
"9","Unmodified right 4",353
"1","Unmodified right 40",375
"11","Unmodified right 40",361
"12","Unmodified right 40",381
"13","Unmodified right 40",377
"16","Unmodified right 40",372
"4","Unmodified right 40",381
"7","Unmodified right 40",371
"9","Unmodified right 40",339
"10","Unmodified right 41",371
"15","Unmodified right 41",397
"7","Unmodified right 41",359
"13","Unmodified right 42",388
"15","Unmodified right 42",403
"6","Unmodified right 42",383
"9","Unmodified right 42",354
"13","Unmodified right 43",379
"8","Unmodified right 43",397
"11","Unmodified right 44",380
"4","Unmodified right 44",396
"7","Unmodified right 44",364
"11","Unmodified right 45",390
"13","Unmodified right 45",389
"8","Unmodified right 45",433
"10","Unmodified right 46",377
"12","Unmodified right 46",378
"13","Unmodified right 46",382
"7","Unmodified right 46",373
"16","Unmodified right 47",351
"7","Unmodified right 47",357
"4","Unmodified right 48",395
"8","Unmodified right 48",395
"4","Unmodified right 49",382
"8","Unmodified right 49",403
"1","Unmodified right 5",287
"10","Unmodified right 5",383
"10","Unmodified right 50",375
"13","Unmodified right 50",384
"4","Unmodified right 50",429
"6","Unmodified right 50",380
"4","Unmodified right 51",380
"6","Unmodified right 51",400
"7","Unmodified right 51",377
"8","Unmodified right 51",396
"11","Unmodified right 52",394
"9","Unmodified right 52",342
"8","Unmodified right 54",414
"12","Unmodified right 55",377
"8","Unmodified right 55",404
"9","Unmodified right 55",334
"1","Unmodified right 57",306
"10","Unmodified right 57",376
"12","Unmodified right 57",391
"15","Unmodified right 57",422
"4","Unmodified right 57",383
"6","Unmodified right 57",380
"12","Unmodified right 58",385
"7","Unmodified right 58",382
"8","Unmodified right 58",61
"1","Unmodified right 59",374
"11","Unmodified right 59",381
"7","Unmodified right 59",363
"10","Unmodified right 6",382
"15","Unmodified right 6",430
"4","Unmodified right 6",392
"11","Unmodified right 60",372
"13","Unmodified right 60",387
"16","Unmodified right 60",382
"7","Unmodified right 60",375
"9","Unmodified right 60",336
"10","Unmodified right 61",380
"6","Unmodified right 61",384
"8","Unmodified right 61",413
"4","Unmodified right 62",381
"12","Unmodified right 63",395
"7","Unmodified right 63",371
"11","Unmodified right 64",367
"13","Unmodified right 64",387
"16","Unmodified right 64",380
"7","Unmodified right 65",390
"11","Unmodified right 67",384
"16","Unmodified right 67",369
"4","Unmodified right 67",381
"1","Unmodified right 68",378
"11","Unmodified right 69",379
"13","Unmodified right 69",382
"15","Unmodified right 69",389
"4","Unmodified right 69",375
"8","Unmodified right 69",477
"11","Unmodified right 7",379
"6","Unmodified right 7",391
"1","Unmodified right 70",349
"10","Unmodified right 70",371
"15","Unmodified right 70",410
"6","Unmodified right 70",382
"7","Unmodified right 71",360
"8","Unmodified right 71",392
"1","Unmodified right 72",404
"10","Unmodified right 72",387
"11","Unmodified right 72",377
"12","Unmodified right 72",378
"16","Unmodified right 72",377
"12","Unmodified right 73",382
"9","Unmodified right 73",357
"12","Unmodified right 74",383
"15","Unmodified right 74",409
"4","Unmodified right 74",387
"9","Unmodified right 74",354
"6","Unmodified right 75",391
"7","Unmodified right 75",379
"8","Unmodified right 75",382
"12","Unmodified right 76",374
"10","Unmodified right 79",385
"13","Unmodified right 79",390
"8","Unmodified right 79",399
"1","Unmodified right 8",378
"16","Unmodified right 8",393
"7","Unmodified right 8",372
"9","Unmodified right 8",359
"10","Unmodified right 80",383
"16","Unmodified right 80",385
"7","Unmodified right 80",362
"10","Unmodified right 81",381
"15","Unmodified right 81",451
"1","Unmodified right 82",380
"16","Unmodified right 82",388
"4","Unmodified right 82",376
"7","Unmodified right 82",380
"11","Unmodified right 83",371
"7","Unmodified right 84",343
"12","Unmodified right 85",371
"6","Unmodified right 85",390
"11","Unmodified right 86",372
"13","Unmodified right 86",372
"16","Unmodified right 87",367
"6","Unmodified right 87",386
"7","Unmodified right 87",356
"8","Unmodified right 87",151
"9","Unmodified right 87",345
"15","Unmodified right 88",396
"16","Unmodified right 88",380
"6","Unmodified right 88",392
"7","Unmodified right 88",372
"16","Unmodified right 89",394
"8","Unmodified right 89",406
"12","Unmodified right 9",388
"13","Unmodified right 9",386
"6","Unmodified right 9",386
"9","Unmodified right 9",356
"1","Unmodified right 90",390
"1","Unmodified right 91",411
"8","Unmodified right 91",420
"13","Unmodified right 92",388
"15","Unmodified right 92",397
"6","Unmodified right 92",330
"10","Unmodified right 93",384
"13","Unmodified right 93",382
"16","Unmodified right 93",382
"13","Unmodified right 94",400
"16","Unmodified right 94",366
"4","Unmodified right 94",387
"12","Unmodified right 95",384
"1","Unmodified right 96",376
"12","Unmodified right 96",388
"7","Unmodified right 96",356
"9","Unmodified right 96",347
"10","Unmodified right 97",380
"11","Unmodified right 97",374
"12","Unmodified right 97",380
"16","Unmodified right 97",394
"1","Unmodified right 98",344
"12","Unmodified right 98",385
"13","Unmodified right 98",384
"4","Unmodified right 98",374
"11","Unmodified right 99",365
"9","Unmodified right 99",341
